trial_id,Peasant Association,pH           (1:2.5 water),TN                (%),Av. P (ppm),Attinable Yield,Actual Yield,Yield Gap,Control,NE Recomm.,Regional Recom.,Soil Test Based Recom.,Control_yield_kg_ha,NE Recommendation_yield_kg_ha,Regional Recommendation_yield_kg_ha,Soil Test Based Recommendation_yield_kg_ha,best_strategy,NE Recommendation_gain_vs_control_kg_ha,Regional Recommendation_gain_vs_control_kg_ha,Soil Test Based Recommendation_gain_vs_control_kg_ha,best_gain_vs_control_kg_ha,NE Recomm._N,NE Recomm._P,NE Recomm._K,Regional Recom._N,Regional Recom._P,Regional Recom._K,Soil Test Based Recom._N,Soil Test Based Recom._P,Soil Test Based Recom._K
0,Liben,4.26,0.126,48.306,6.5,3.5,3.0,0-0-0,120-50-31,92-69-0,120-0-0,1774.2857142857142,8729.806666666667,8956.018583042975,8068.854857142856,Regional Recommendation,6955.5209523809535,7181.732868757261,6294.569142857143,7181.732868757261,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-0.0,-0.0
1,Liben,4.95,0.126,5.826,6.5,3.5,3.0,0-0-0,120-50-31,92-69-0,120-23-0,969.1733333333331,7115.27619047619,10355.853061224487,8189.672727272728,Regional Recommendation,6146.102857142857,9386.679727891154,7220.499393939394,9386.679727891154,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-23.0,-0.0
2,Bore,4.44,0.14,4.366,5.5,2.5,3.0,0-0-0,110-40-27,92-69-0,120-42-0,52.0,4232.265512265513,7571.756978653531,5327.710368118878,Regional Recommendation,4180.265512265513,7519.756978653531,5275.710368118878,7519.756978653531,110.0,-40.0,-27.0,92.0,-69.0,-0.0,120.0,-42.0,-0.0
3,Liben,5.32,0.14,4.695,6.5,3.6,2.9,0-0-0,120-50-31,92-69-0,120-38-0,1591.805291005291,6088.413605442177,5368.444914756026,5464.177777777777,NE Recommendation,4496.608314436886,3776.639623750735,3872.372486772486,4496.608314436886,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-38.0,-0.0
4,Liben,5.06,0.175,6.187,6.5,3.6,2.9,0-0-0,120-50-31,92-69-0,120-18-0,329.28571428571433,6731.760544217688,8191.833560090703,7265.523809523808,Regional Recommendation,6402.4748299319735,7862.547845804988,6936.238095238094,7862.547845804988,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-18.0,-0.0
5,Walmara,4.76,0.154,3.836,5.5,3.5,2.0,0-0-0,110-40-27,92-69-0,120-49-0,2061.7142857142853,4673.211695906433,3835.647619047619,5240.888888888889,Soil Test Based Recommendation,2611.497410192148,1773.9333333333338,3179.1746031746034,3179.1746031746034,110.0,-40.0,-27.0,92.0,-69.0,-0.0,120.0,-49.0,-0.0
6,Chala,5.85,0.168,7.928,5.5,3.5,2.0,0-0-0,110-40-27,92-69-0,120-0-0,2862.391534391534,8794.5,9129.475968992248,9194.5,Soil Test Based Recommendation,5932.108465608466,6267.084434600714,6332.108465608466,6332.108465608466,110.0,-40.0,-27.0,92.0,-69.0,-0.0,120.0,-0.0,-0.0
7,Chala,4.74,0.175,5.593,6.5,3.7,2.8,0-0-0,120-50-31,92-69-0,120-26-0,1308.8,7381.432442895856,6676.067828106852,7195.529078014184,NE Recommendation,6072.632442895856,5367.267828106852,5886.729078014184,6072.632442895856,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-26.0,-0.0
8,Liben,4.79,0.147,3.861,5.5,2.5,3.0,0-0-0,110-40-27,92-69-0,120-48-0,2334.3511599511603,9927.16916099773,10953.301863354036,12971.428571428572,Soil Test Based Recommendation,7592.818001046569,8618.950703402876,10637.077411477412,10637.077411477412,110.0,-40.0,-27.0,92.0,-69.0,-0.0,120.0,-48.0,-0.0
9,Liben,4.75,0.161,6.689,5.5,2.5,3.0,0-0-0,110-40-27 ,92-69-0,120-11-0,846.0,6315.42857142857,7903.238095238094,7650.0632275132275,Regional Recommendation,5469.42857142857,7057.238095238094,6804.0632275132275,7057.238095238094,110.0,-40.0,-27.0,92.0,-69.0,-0.0,120.0,-11.0,-0.0
10,Tikurbalto,4.319,0.189,7.5,6.5,3.5999999999999996,2.9000000000000004,0-0-0,120-50-31,92-69-0,120-43-0,3021.568,5034.838397581255,7084.6647230320705,6941.57671957672,Regional Recommendation,2013.2703975812547,4063.0967230320703,3920.00871957672,4063.0967230320703,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-43.0,-0.0
11,Ganda Girma,4.52,0.241,4.369,7.5,4.5,3.0,0-0-0,130-60-42,92-69-0,120-42-0,1923.6321088435373,3715.9211077338737,3909.6816326530607,5519.808,Soil Test Based Recommendation,1792.2889988903364,1986.0495238095234,3596.175891156463,3596.175891156463,130.0,-60.0,-42.0,92.0,-69.0,-0.0,120.0,-42.0,-0.0
12,Babo,4.58,0.154,3.184,5.5,2.5,3.0,0-0-0,110-40-27,92-69-0,120-58-0,213.62116402116402,5434.521409214091,5314.750750750751,2934.9047619047624,NE Recommendation,5220.900245192927,5101.129586729587,2721.2835978835983,5220.900245192927,110.0,-40.0,-27.0,92.0,-69.0,-0.0,120.0,-58.0,-0.0
13,Hajelo,4.95,0.14,5.025,7.5,4.5,3.0,0-0-0,130-60-42,92-69-0,120-33-0,673.5999999999999,7537.195604395603,7418.548148148148,6133.390476190474,NE Recommendation,6863.595604395603,6744.948148148149,5459.790476190474,6863.595604395603,130.0,-60.0,-42.0,92.0,-69.0,-0.0,120.0,-33.0,-0.0
14,Babo,4.79,0.161,3.948,6.0,3.2,2.8,0-0-0,120-50-31,92-69-0,120-0-0,2624.6532063492064,6890.025062656641,7286.541798941801,8945.375661375661,Soil Test Based Recommendation,4265.371856307434,4661.888592592595,6320.722455026455,6320.722455026455,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-0.0,-0.0
15,Babo,4.72,0.154,3.859,6.5,3.7,2.8,0-0-0,120-50-31,92-69-0,120-49-0,4419.555555555556,7367.8545454545465,10160.04133738602,7156.413968253968,Regional Recommendation,2948.298989898991,5740.485781830464,2736.8584126984124,5740.485781830464,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-49.0,-0.0
16,Tikurbalto,4.73,0.168,3.84,7.0,4.0,3.0,0-0-0,130-52-40,92-69-0,120-49-0,8775.960975609756,7382.309523809523,11804.251428571428,6552.477018633541,Regional Recommendation,-1393.6514518002332,3028.2904529616717,-2223.4839569762153,3028.2904529616717,130.0,-52.0,-40.0,92.0,-69.0,-0.0,120.0,-49.0,-0.0
17,Waktola,4.72,0.14,3.942,6.0,3.0,3.0,0-0-0,120-48-29,92-69-0,120-48-0,860.3259259259261,3889.396825396825,5520.639999999999,4959.644444444445,Regional Recommendation,3029.070899470899,4660.314074074074,4099.318518518519,4660.314074074074,120.0,-48.0,-29.0,92.0,-69.0,-0.0,120.0,-48.0,-0.0
18,Waktola,4.54,0.266,38.564,7.5,4.5,3.0,0-0-0,130-60-42,92-69-0,120-0-0,3424.486956521739,8916.333333333336,10672.919896640828,7613.309772423026,Regional Recommendation,5491.846376811596,7248.432940119088,4188.822815901287,7248.432940119088,130.0,-60.0,-42.0,92.0,-69.0,-0.0,120.0,-0.0,-0.0
19,Waktola,4.64,0.14,8.661,6.5,3.5,3.0,0-0-0,120-48-29,92-69-0,120-48-0,4790.757587301587,7440.427409988387,7734.328614328614,6866.027021040975,Regional Recommendation,2649.6698226868,2943.5710270270274,2075.2694337393887,2943.5710270270274,120.0,-48.0,-29.0,92.0,-69.0,-0.0,120.0,-48.0,-0.0
20,Waktola,4.63,0.133,20.476,6.0,3.0,3.0,0-0-0,120-48-29,92-69-0,120-0-0,1099.3015873015875,5246.442328042328,7593.389355742295,5257.936507936507,Regional Recommendation,4147.1407407407405,6494.087768440708,4158.63492063492,6494.087768440708,120.0,-48.0,-29.0,92.0,-69.0,-0.0,120.0,-0.0,-0.0
21,Hejelo,4.5,0.147,16.71,6.5,3.5,3.0,0-0-0,120-50-31,92-69-0,120-16-0,1661.047619047619,8433.102222222222,8284.262857142858,6212.716049382714,NE Recommendation,6772.054603174603,6623.215238095238,4551.668430335095,6772.054603174603,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-16.0,-0.0
22,Merewa,4.88,0.161,2.531,7.5,4.7,2.8,0-0-0,130-60-42,92-69-0,120-67-0,1629.4588235294116,2470.7651651651654,4933.778571428572,4863.999999999998,Regional Recommendation,841.3063416357538,3304.3197478991606,3234.541176470587,3304.3197478991606,130.0,-60.0,-42.0,92.0,-69.0,-0.0,120.0,-67.0,-0.0
23,Merewa,4.69,0.203,2.778,6.5,3.7,2.8,0-0-0,120-50-31,92-69-0,120-63-0,1105.1803751803752,3828.129657477026,2858.91948051948,3239.2646733111847,NE Recommendation,2722.9492822966504,1753.739105339105,2134.0842981308097,2722.9492822966504,120.0,-50.0,-31.0,92.0,-69.0,-0.0,120.0,-63.0,-0.0
24,Ongobo Bakanisa,,,7.47,7.5,4.5,3.0,0-0-0,130-60-42,111-38-0,120-42-0,2154.326676907322,9068.40902255639,8541.866666666667,7743.9408479003405,NE Recommendation,6914.082345649069,6387.539989759345,5589.614170993018,6914.082345649069,130.0,-60.0,-42.0,111.0,-38.0,-0.0,120.0,-42.0,-0.0
25,Ale wara ilu,,,6.23,7.5,4.5,3.0,0-0-0,130-60-42,111-38-0,120-0-0,5231.999999999998,7213.934776334776,6039.442886002885,7778.491634491634,Soil Test Based Recommendation,1981.9347763347778,807.4428860028866,2546.4916344916355,2546.4916344916355,130.0,-60.0,-42.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
26,gudina walkite,,,7.16,6.5,3.6,2.9,0-0-0,120-50-31,111-38-0,120-0-0,3282.9493087557607,8793.706892802784,7291.633986928103,7653.5952380952385,NE Recommendation,5510.757584047024,4008.684678172342,4370.645929339478,5510.757584047024,120.0,-50.0,-31.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
27,Tarkanfata gibe,,,4.37,9.0,6.0,3.0,0-0-0,140-66-48,111-38-0,120-38-0,4914.135200746965,6915.007680491552,5431.420952380953,6009.571428571428,NE Recommendation,2000.8724797445866,517.2857516339882,1095.4362278244635,2000.8724797445866,140.0,-66.0,-48.0,111.0,-38.0,-0.0,120.0,-38.0,-0.0
28,Oda gibe,,,20.3,9.0,6.0,3.0,0-0-0,140-66-48,111-38-0,120-26-0,5046.6314699792965,7240.546192485433,8005.170068027211,7930.561403508774,Regional Recommendation,2193.914722506136,2958.538598047914,2883.9299335294772,2958.538598047914,140.0,-66.0,-48.0,111.0,-38.0,-0.0,120.0,-26.0,-0.0
29,Oda gibe,,,10.48,6.0,3.0,3.0,0-0-0,120-48-29,111-38-0,120-0-0,5809.576530612245,8267.04225352113,7551.2187633262265,7136.361620469084,NE Recommendation,2457.4657229088843,1741.6422327139817,1326.7850898568395,2457.4657229088843,120.0,-48.0,-29.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
30,oda korma,,,6.72,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-26-0,3642.785185185185,7685.446153846154,8133.656084656083,8670.593015873013,Soil Test Based Recommendation,4042.6609686609686,4490.870899470898,5027.807830687829,5027.807830687829,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-26.0,-0.0
31,oda korma,,,9.99,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-0-0,7440.438003220614,8757.445614035089,8132.428571428572,10105.561634582913,Soil Test Based Recommendation,1317.007610814475,691.990568207958,2665.1236313622994,2665.1236313622994,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
32,oda haro,,,5.54,8.0,5.0,3.0,0-0-0,130-62-44,111-38-0,120-0-0,1660.7316704459563,8595.983673469387,10243.800963081861,10188.568655354862,Regional Recommendation,6935.252003023431,8583.069292635904,8527.836984908907,8583.069292635904,130.0,-62.0,-44.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
33,oda haro,,,5.56,10.0,7.0,3.0,0-0-0,150-76-51,111-38-0,120-0-0,2365.8911564625855,6850.054644808743,5463.214462081129,4121.5055555555555,NE Recommendation,4484.1634883461575,3097.323305618543,1755.61439909297,4484.1634883461575,150.0,-76.0,-51.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
34,Tulu sangota,,,5.57,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-22-0,2701.5120517342734,4301.8736383442265,4915.999999999999,3921.5589327929756,Regional Recommendation,1600.361586609953,2214.4879482657257,1220.0468810587022,2214.4879482657257,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-22.0,-0.0
35,Tulu sangota,,,2.73,7.5,4.5,3.0,0-0-0,130-60-42,111-38-0,120-5-0,1593.466666666667,5110.280597014925,5486.303206997084,5236.31746031746,Regional Recommendation,3516.8139303482576,3892.836540330417,3642.850793650793,3892.836540330417,130.0,-60.0,-42.0,111.0,-38.0,-0.0,120.0,-5.0,-0.0
