trial_id,Region,Zone,Districts,Location,Altitude,pH,TN               (%),Av. P (ppm),Attiainable Yield (t/ha),Control,NE_yield_kg_ha,Regional_yield_kg_ha,SoilTest_yield_kg_ha,Control_N,Control_P,Control_K,NE_N,NE_P,NE_K,Regional_N,Regional_P,Regional_K,SoilTest_N,SoilTest_P,SoilTest_K,best_treatment,control_yield_kg_ha,best_yield_kg_ha,best_gain_vs_control_kg_ha
1,Oromiya,Jimma,Sekoru,Liben,1790.0,4.26,0.126,48.306,6.5,1774.2857142857142,8729.806666666667,8956.018583042975,8068.854857142856,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,0.0,0.0,Regional Recommendation,1774.2857142857142,8956.018583042975,7181.732868757261
2,Oromiya,Jimma,Sekoru,Liben,1731.0,4.95,0.126,5.826,6.5,969.1733333333331,7115.27619047619,10355.853061224487,8189.672727272728,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,23.0,0.0,Regional Recommendation,969.1733333333331,10355.853061224487,9386.679727891154
3,Oromiya,Jimma,Sekoru,Bore,1760.0,4.44,0.14,4.366,5.5,52.0,4232.265512265513,7571.756978653531,5327.710368118878,0.0,0.0,0.0,110.0,40.0,27.0,92.0,69.0,0.0,120.0,42.0,0.0,Regional Recommendation,52.0,7571.756978653531,7519.756978653531
4,Oromiya,Jimma,Sekoru,Liben,1837.0,5.32,0.14,4.695,6.5,1591.805291005291,6088.413605442177,5368.444914756026,5464.177777777777,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,38.0,0.0,NE Recommendation,1591.805291005291,6088.413605442177,4496.608314436886
5,Oromiya,Jimma,Sekoru,Liben,1754.0,5.06,0.175,6.187,6.5,329.28571428571433,6731.760544217688,8191.833560090703,7265.523809523808,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,18.0,0.0,Regional Recommendation,329.28571428571433,8191.833560090703,7862.547845804988
6,Oromiya,Jimma,Sekoru,Walmara,1757.0,4.76,0.154,3.836,5.5,2061.7142857142853,4673.211695906433,3835.647619047619,5240.888888888889,0.0,0.0,0.0,110.0,40.0,27.0,92.0,69.0,0.0,120.0,49.0,0.0,Soil Test Based Recommendation,2061.7142857142853,5240.888888888889,3179.1746031746034
7,Oromiya,Jimma,Sekoru,Chala,1717.0,5.85,0.168,7.928,5.5,2862.391534391534,8794.5,9129.475968992248,9194.5,0.0,0.0,0.0,110.0,40.0,27.0,92.0,69.0,0.0,120.0,0.0,0.0,Soil Test Based Recommendation,2862.391534391534,9194.5,6332.108465608466
8,Oromiya,Jimma,Sekoru,Chala,1768.0,4.74,0.175,5.593,6.5,1308.8,7381.432442895856,6676.067828106852,7195.529078014184,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,26.0,0.0,NE Recommendation,1308.8,7381.432442895856,6072.632442895856
9,Oromiya,Jimma,Sekoru,Liben,1868.0,4.79,0.147,3.861,5.5,2334.3511599511603,9927.16916099773,10953.301863354036,12971.428571428572,0.0,0.0,0.0,110.0,40.0,27.0,92.0,69.0,0.0,120.0,48.0,0.0,Soil Test Based Recommendation,2334.3511599511603,12971.428571428572,10637.077411477412
10,Oromiya,Jimma,Sekoru,Liben,1856.0,4.75,0.161,6.689,5.5,846.0,6315.42857142857,7903.238095238094,7650.0632275132275,0.0,0.0,0.0,110.0,40.0,27.0,92.0,69.0,0.0,120.0,11.0,0.0,Regional Recommendation,846.0,7903.238095238094,7057.238095238094
